IATA_CODE,AIRLINE,processed_at
UA,United Air Lines Inc.,2026-08-11 03:59:40
AA,American Airlines Inc.,2026-08-11 03:59:40
US,US Airways Inc.,2026-08-11 03:59:40
F9,Frontier Airlines Inc.,2026-08-11 03:59:40
B6,JetBlue Airways,2026-08-11 03:59:40
OO,Skywest Airlines Inc.,2026-08-11 03:59:40
AS,Alaska Airlines Inc.,2026-08-11 03:59:40
NK,Spirit Air Lines,2026-08-11 03:59:40
WN,Southwest Airlines Co.,2026-08-11 03:59:40
DL,Delta Air Lines Inc.,2026-08-11 03:59:40
EV,Atlantic Southeast Airlines,2026-08-11 03:59:40
HA,Hawaiian Airlines Inc.,2026-08-11 03:59:40
MQ,American Eagle Airlines Inc.,2026-08-11 03:59:40
VX,Virgin America,2026-08-11 03:59:40
