IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DOT_ID,processed_at
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,10135,2026-08-11 04:08:10
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,10136,2026-08-11 04:08:10
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,10140,2026-08-11 04:08:10
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,10141,2026-08-11 04:08:10
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,10146,2026-08-11 04:08:10
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,10154,2026-08-11 04:08:10
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,10155,2026-08-11 04:08:10
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,10157,2026-08-11 04:08:10
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,10158,2026-08-11 04:08:10
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,10165,2026-08-11 04:08:10
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,10170,2026-08-11 04:08:10
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,10185,2026-08-11 04:08:10
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645,10208,2026-08-11 04:08:10
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,10245,2026-08-11 04:08:10
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,10257,2026-08-11 04:08:10
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,10268,2026-08-11 04:08:10
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,10279,2026-08-11 04:08:10
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,10299,2026-08-11 04:08:10
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,10333,2026-08-11 04:08:10
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,10372,2026-08-11 04:08:10
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,10397,2026-08-11 04:08:10
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948,10408,2026-08-11 04:08:10
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,10423,2026-08-11 04:08:10
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181,10431,2026-08-11 04:08:10
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,10434,2026-08-11 04:08:10
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206,10469,2026-08-11 04:08:10
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,10529,2026-08-11 04:08:10
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838,10551,2026-08-11 04:08:10
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677,10561,2026-08-11 04:08:10
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961,10577,2026-08-11 04:08:10
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814,10581,2026-08-11 04:08:10
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355,10599,2026-08-11 04:08:10
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286,10620,2026-08-11 04:08:10
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672,10627,2026-08-11 04:08:10
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372,10631,2026-08-11 04:08:10
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753,10666,2026-08-11 04:08:10
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595,10685,2026-08-11 04:08:10
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,10693,2026-08-11 04:08:10
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278,10713,2026-08-11 04:08:10
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,10721,2026-08-11 04:08:10
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,10728,2026-08-11 04:08:10
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631,10731,2026-08-11 04:08:10
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944,10732,2026-08-11 04:08:10
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723,10739,2026-08-11 04:08:10
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586,10747,2026-08-11 04:08:10
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766,10754,2026-08-11 04:08:10
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,10779,2026-08-11 04:08:10
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,10781,2026-08-11 04:08:10
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,10785,2026-08-11 04:08:10
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,10792,2026-08-11 04:08:10
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,10800,2026-08-11 04:08:10
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,10821,2026-08-11 04:08:10
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,10849,2026-08-11 04:08:10
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954,10868,2026-08-11 04:08:10
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247,10874,2026-08-11 04:08:10
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,10918,2026-08-11 04:08:10
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765,10926,2026-08-11 04:08:10
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653,10930,2026-08-11 04:08:10
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379,10980,2026-08-11 04:08:10
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286,10990,2026-08-11 04:08:10
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,10994,2026-08-11 04:08:10
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087,11003,2026-08-11 04:08:10
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239,11013,2026-08-11 04:08:10
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873,11041,2026-08-11 04:08:10
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,11042,2026-08-11 04:08:10
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382,11049,2026-08-11 04:08:10
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,11057,2026-08-11 04:08:10
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,11066,2026-08-11 04:08:10
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806,11067,2026-08-11 04:08:10
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906,11076,2026-08-11 04:08:10
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484,11092,2026-08-11 04:08:10
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238,11097,2026-08-11 04:08:10
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025,11109,2026-08-11 04:08:10
