TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201509012,2015,09,01,2,2026-08-15 15:41:52
201509023,2015,09,02,3,2026-08-15 15:41:52
201509034,2015,09,03,4,2026-08-15 15:41:52
201509045,2015,09,04,5,2026-08-15 15:41:52
201509056,2015,09,05,6,2026-08-15 15:41:52
201509067,2015,09,06,7,2026-08-15 15:41:52
201509071,2015,09,07,1,2026-08-15 15:41:52
201509082,2015,09,08,2,2026-08-15 15:41:52
201509093,2015,09,09,3,2026-08-15 15:41:52
201509104,2015,09,10,4,2026-08-15 15:41:52
201509115,2015,09,11,5,2026-08-15 15:41:52
201509126,2015,09,12,6,2026-08-15 15:41:52
201509137,2015,09,13,7,2026-08-15 15:41:52
201509141,2015,09,14,1,2026-08-15 15:41:52
201509152,2015,09,15,2,2026-08-15 15:41:52
201509163,2015,09,16,3,2026-08-15 15:41:52
201509174,2015,09,17,4,2026-08-15 15:41:52
201509185,2015,09,18,5,2026-08-15 15:41:52
201509196,2015,09,19,6,2026-08-15 15:41:52
201509207,2015,09,20,7,2026-08-15 15:41:52
201509211,2015,09,21,1,2026-08-15 15:41:52
201509222,2015,09,22,2,2026-08-15 15:41:52
201509233,2015,09,23,3,2026-08-15 15:41:52
201509244,2015,09,24,4,2026-08-15 15:41:52
201509255,2015,09,25,5,2026-08-15 15:41:52
201509266,2015,09,26,6,2026-08-15 15:41:52
201509277,2015,09,27,7,2026-08-15 15:41:52
201509281,2015,09,28,1,2026-08-15 15:41:52
201509292,2015,09,29,2,2026-08-15 15:41:52
201509303,2015,09,30,3,2026-08-15 15:41:52
