TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201507013,2015,07,01,3,2026-08-11 04:07:50
201507024,2015,07,02,4,2026-08-11 04:07:50
201507035,2015,07,03,5,2026-08-11 04:07:50
201507046,2015,07,04,6,2026-08-11 04:07:50
201507057,2015,07,05,7,2026-08-11 04:07:50
201507061,2015,07,06,1,2026-08-11 04:07:50
201507072,2015,07,07,2,2026-08-11 04:07:50
201507083,2015,07,08,3,2026-08-11 04:07:50
201507094,2015,07,09,4,2026-08-11 04:07:50
201507105,2015,07,10,5,2026-08-11 04:07:50
201507116,2015,07,11,6,2026-08-11 04:07:50
201507127,2015,07,12,7,2026-08-11 04:07:50
201507131,2015,07,13,1,2026-08-11 04:07:50
201507142,2015,07,14,2,2026-08-11 04:07:50
201507153,2015,07,15,3,2026-08-11 04:07:50
201507164,2015,07,16,4,2026-08-11 04:07:50
201507175,2015,07,17,5,2026-08-11 04:07:50
201507186,2015,07,18,6,2026-08-11 04:07:50
201507197,2015,07,19,7,2026-08-11 04:07:50
201507201,2015,07,20,1,2026-08-11 04:07:50
201507212,2015,07,21,2,2026-08-11 04:07:50
201507223,2015,07,22,3,2026-08-11 04:07:50
201507234,2015,07,23,4,2026-08-11 04:07:50
201507245,2015,07,24,5,2026-08-11 04:07:50
201507256,2015,07,25,6,2026-08-11 04:07:50
201507267,2015,07,26,7,2026-08-11 04:07:50
201507271,2015,07,27,1,2026-08-11 04:07:50
201507282,2015,07,28,2,2026-08-11 04:07:50
201507293,2015,07,29,3,2026-08-11 04:07:50
201507304,2015,07,30,4,2026-08-11 04:07:50
201507315,2015,07,31,5,2026-08-11 04:07:50
