TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201505015,2015,05,01,5,2026-08-15 15:42:35
201505026,2015,05,02,6,2026-08-15 15:42:35
201505037,2015,05,03,7,2026-08-15 15:42:35
201505041,2015,05,04,1,2026-08-15 15:42:35
201505052,2015,05,05,2,2026-08-15 15:42:35
201505063,2015,05,06,3,2026-08-15 15:42:35
201505074,2015,05,07,4,2026-08-15 15:42:35
201505085,2015,05,08,5,2026-08-15 15:42:35
201505096,2015,05,09,6,2026-08-15 15:42:35
201505107,2015,05,10,7,2026-08-15 15:42:35
201505111,2015,05,11,1,2026-08-15 15:42:35
201505122,2015,05,12,2,2026-08-15 15:42:35
201505133,2015,05,13,3,2026-08-15 15:42:35
201505144,2015,05,14,4,2026-08-15 15:42:35
201505155,2015,05,15,5,2026-08-15 15:42:35
201505166,2015,05,16,6,2026-08-15 15:42:35
201505177,2015,05,17,7,2026-08-15 15:42:35
201505181,2015,05,18,1,2026-08-15 15:42:35
201505192,2015,05,19,2,2026-08-15 15:42:35
201505203,2015,05,20,3,2026-08-15 15:42:35
201505214,2015,05,21,4,2026-08-15 15:42:35
201505225,2015,05,22,5,2026-08-15 15:42:35
201505236,2015,05,23,6,2026-08-15 15:42:35
201505247,2015,05,24,7,2026-08-15 15:42:35
201505251,2015,05,25,1,2026-08-15 15:42:35
201505262,2015,05,26,2,2026-08-15 15:42:35
201505273,2015,05,27,3,2026-08-15 15:42:35
201505284,2015,05,28,4,2026-08-15 15:42:35
201505295,2015,05,29,5,2026-08-15 15:42:35
201505306,2015,05,30,6,2026-08-15 15:42:35
201505317,2015,05,31,7,2026-08-15 15:42:35
